knot type / confinement radius,1.01,1.1,1.5
0_1,47627269824,9645398181,9856384243
3_1,2128499980,322338569,134412392
4_1,186677801,25552797,7751126
5_1,22984748,2622084,568976
5_2,31069076,3632084,789220
6_1,504402,68008,14806
6_2*,1148022,159029,34734
6_3,888704,121963,26074
7_1,4140,494,95
7_2,7776,1106,236
7_3,11859,1471,316
7_4,19177,2629,468
7_5,8030,1027,196
7_6,35519,4815,875
7_7,40746,5128,787
8_16,4689,554,88
8_17,3734,462,56
8_18,70,7,1
8_19,341793,33044,5629
8_20,165345,20407,3598
8_21,75211,8965,1359
9_34,20,4,0
9_35,6,1,0
9_39,24,2,0
9_40,319,33,7
9_41,472,62,6
9_42,11680,1457,210
9_43,945,86,11
9_44,5861,748,112
9_45,7,1,1
9_46,6706,766,109
9_47,763,82,7
9_48,234,22,2
9_49,1248,152,20
3_1 # 3_1,209361,23562,4224
3_1 # 4_1,1708,198,16
Unclassifiable,0,0,0