knot, superbridge index
0_1, 1
3_1, 3
4_1, 3
5_1, 4
7_1, 4
7_5, 4
7_6, 4
7_7, 4
8_1, 4
8_2, 4
8_3, 4
8_5, 4
8_6, 4
8_7, 4
8_8, 4
8_10, 4
8_11, 4
8_12, 4
8_13, 4
8_14, 4
8_15, 4
8_16, 4
8_17, 4
8_18, 4
8_19, 4
8_20, 4
8_21, 4
9_1, 4
9_3, 4
9_4, 4
9_6, 4
9_7, 4
9_9, 4
9_11, 4
9_13, 4
9_16, 4
9_17, 4
9_18, 4
9_20, 4
9_22, 4
9_23, 4
9_25, 4
9_26, 4
9_27, 4
9_29, 4
9_30, 4
9_31, 4
9_32, 4
9_33, 4
9_34, 4
9_35, 4
9_36, 4
9_39, 4
9_40, 4
9_41, 4
9_42, 4
9_43, 4
9_44, 4
9_45, 4
9_46, 4
9_47, 4
9_48, 4
9_49, 4
10_124, 5
K11a367, 4
K11n71, 5
K11n72, 5
K11n73, 5
K11n74, 5
K11n75, 5
K11n76, 5
K11n77, 5
K11n78, 5
K11n81, 5
K12n60, 5
K12n66, 5
K12n219, 5
K12n225, 5
K12n553, 5
K13a4878, 4
K13n226, 5
K13n285, 5
K13n293, 5
K13n328, 5
K13n342, 5
K13n343, 5
K13n350, 5
K13n512, 5
K13n587, 5
K13n592, 5
K13n607, 5
K13n611, 5
K13n835, 5
K13n973, 5
K13n1177, 5
K13n1192, 5
K13n2641, 5
K13n5018, 5
K14n1753, 5
K14n21881, 6
K15a85263, 4 
K15n41126, 5 
K15n41127, 5 
K15n41185, 5 
K16n783154, 6